country,year,num
Nepal,2018,6
Australia,2018,64
Cuba,2018,7
Hungary,2018,54
Norway,2018,22
Latvia,2018,8
Estonia,2018,17
Finland,2018,15
Taiwan,2018,26
Iceland,2018,20
South Africa,2018,28
Switzerland,2018,33
Nicaragua,2018,13
Honduras,2018,2
Belize,2018,3
Philippines,2018,31
United Arab Emirates,2018,21
Japan,2018,74
Romania,2018,24
Bolivia,2018,3
Ireland,2018,30
Germany,2018,123
Denmark,2018,20
Israel,2018,19
Turkey,2018,25
Cyprus,2018,5
Bulgaria,2018,20
Slovenia,2018,6
Croatia,2018,36
Armenia,2018,2
Jordan,2018,4
Sweden,2018,37
,2018,7
Serbia,2018,19
India,2018,32
Malta,2018,13
Qatar,2018,9
Slovakia,2018,9
Dominican Republic,2018,2
Mauritius,2018,1
Egypt,2018,9
Montenegro,2018,4
Bahrain,2018,2
Morocco,2018,24
Belarus,2018,8
Azerbaijan,2018,1
Czechia,2018,35
Moldova,2018,1
Jamaica,2018,1
Aruba,2018,4
The Bahamas,2018,1
Vatican City,2018,1
Tanzania,2018,1
Bosnia and Herzegovina,2018,2
Faroe Islands,2018,1
Puerto Rico,2018,3
Monaco,2018,3
Fiji,2018,1
Kyrgyzstan,2018,2
Madagascar,2018,1
Ethiopia,2018,2
Guatemala,2018,9
Andorra,2018,4
Seychelles,2018,1
Myanmar,2018,3
Maldives,2018,2
Oman,2018,2
Namibia,2018,1
Tunisia,2018,3
Kazakhstan,2018,1
Luxembourg,2018,2
Myanmar (Burma),2018,3
Rwanda,2018,2
Trinidad and Tobago,2018,1
Nigeria,2018,1
Uganda,2018,1
Albania,2018,7
Gibraltar,2018,3
Republic of Macedonia,2018,2
Macedonia (FYROM),2018,3
Senegal,2018,1
Mozambique,2018,1
Macedonia,2018,3
Barbados,2018,1
Liechtenstein,2018,1
Timor-Leste,2018,1
Turks and Caicos Islands,2018,1
Bosnia,2018,2
Mediterranean Sea,2018,1
Nicosia,2018,1
Côte d'Ivoire,2018,1
Saint Lucia,2018,1
Andaman Sea,2018,1
